,date,unix,open,high,low,close,volume
251,2018-05-25 17:00:00,1527267600,594.99,594.99,584.6,585.81,736.6
252,2018-05-25 18:00:00,1527271200,585.81,586.67,577.67,581.99,986.14
253,2018-05-25 19:00:00,1527274800,581.99,584.17,575.42,581.17,562.13
254,2018-05-25 20:00:00,1527278400,581.17,583.99,576.58,582.8,457.1
255,2018-05-25 21:00:00,1527282000,582.8,584.33,578.9,582.48,397.01
256,2018-05-25 22:00:00,1527285600,582.48,583.6,569.19,572.59,962.64
257,2018-05-25 23:00:00,1527289200,572.59,585.0,571.36,584.99,678.77
258,2018-05-26 00:00:00,1527292800,584.99,585.48,578.84,582.55,713.62
259,2018-05-26 01:00:00,1527296400,582.55,591.02,582.27,588.66,224.89
260,2018-05-26 02:00:00,1527300000,588.66,588.66,580.22,584.0,331.99
261,2018-05-26 03:00:00,1527303600,584.0,587.62,580.54,586.23,464.73
262,2018-05-26 04:00:00,1527307200,586.23,587.18,580.89,582.02,405.36
263,2018-05-26 05:00:00,1527310800,582.02,588.97,582.02,587.37,81.99
264,2018-05-26 06:00:00,1527314400,587.37,590.66,585.45,587.95,511.57
265,2018-05-26 07:00:00,1527318000,587.95,607.7,587.1,599.1,958.32
266,2018-05-26 08:00:00,1527321600,599.1,602.0,599.0,601.55,1096.49
267,2018-05-26 09:00:00,1527325200,601.55,603.0,599.15,599.2,177.31
268,2018-05-26 10:00:00,1527328800,599.2,601.25,593.48,599.09,196.98
269,2018-05-26 11:00:00,1527332400,599.09,603.37,598.94,599.06,87.7
270,2018-05-26 12:00:00,1527336000,599.06,601.48,595.45,597.7,341.64
271,2018-05-26 13:00:00,1527339600,597.7,604.71,597.61,602.61,96.28
272,2018-05-26 14:00:00,1527343200,602.61,604.44,600.51,601.2,82.24
273,2018-05-26 15:00:00,1527346800,601.2,604.85,600.63,602.76,308.03
274,2018-05-26 16:00:00,1527350400,602.76,604.5,598.23,601.43,332.3
275,2018-05-26 17:00:00,1527354000,601.43,604.87,599.66,603.4,171.79
276,2018-05-26 18:00:00,1527357600,603.4,604.73,601.98,602.99,40.62
277,2018-05-26 19:00:00,1527361200,602.99,602.99,597.71,599.91,149.14
278,2018-05-26 20:00:00,1527364800,599.91,600.0,598.11,599.73,136.47
279,2018-05-26 21:00:00,1527368400,599.73,607.66,593.15,596.97,595.14
280,2018-05-26 22:00:00,1527372000,596.97,597.65,582.22,585.0,1193.4
281,2018-05-26 23:00:00,1527375600,585.0,587.99,581.01,585.65,330.89
282,2018-05-27 00:00:00,1527379200,585.65,585.99,577.1,582.99,671.71
283,2018-05-27 01:00:00,1527382800,582.99,585.58,580.12,583.0,387.01
284,2018-05-27 02:00:00,1527386400,583.0,587.26,582.22,584.37,1163.27
285,2018-05-27 03:00:00,1527390000,584.37,584.37,579.0,581.95,168.83
286,2018-05-27 04:00:00,1527393600,581.95,584.99,580.99,581.99,53.23
287,2018-05-27 05:00:00,1527397200,581.99,583.75,578.63,581.98,83.32
288,2018-05-27 06:00:00,1527400800,581.98,583.99,579.5,583.99,57.35
289,2018-05-27 07:00:00,1527404400,583.99,592.88,581.74,587.07,659.01
290,2018-05-27 08:00:00,1527408000,587.07,587.99,571.57,576.46,987.8
291,2018-05-27 09:00:00,1527411600,576.46,577.32,572.47,576.55,533.6
292,2018-05-27 10:00:00,1527415200,576.55,577.33,570.26,575.21,1023.54
293,2018-05-27 11:00:00,1527418800,575.21,576.63,572.4,575.88,428.13
294,2018-05-27 12:00:00,1527422400,575.88,576.68,572.14,574.34,554.98
295,2018-05-27 13:00:00,1527426000,574.34,574.34,563.23,565.72,1938.7
296,2018-05-27 14:00:00,1527429600,565.72,573.99,563.76,570.73,921.75
297,2018-05-27 15:00:00,1527433200,570.73,572.73,569.88,571.99,634.18
298,2018-05-27 16:00:00,1527436800,571.99,572.17,568.51,569.96,209.25
299,2018-05-27 17:00:00,1527440400,569.96,571.5,567.6,570.82,148.47
300,2018-05-27 18:00:00,1527444000,570.82,572.15,556.92,559.64,793.03
301,2018-05-27 19:00:00,1527447600,559.64,560.57,558.01,560.36,132.98
302,2018-05-27 20:00:00,1527451200,560.36,564.43,560.36,562.04,87.29
303,2018-05-27 21:00:00,1527454800,562.04,566.07,559.32,565.84,85.17
304,2018-05-27 22:00:00,1527458400,565.84,569.88,564.06,569.88,86.36
305,2018-05-27 23:00:00,1527462000,569.88,571.4,569.11,571.39,137.32
306,2018-05-28 00:00:00,1527465600,571.39,571.91,569.29,571.2,358.56
307,2018-05-28 01:00:00,1527469200,571.2,571.41,567.0,570.5,902.57
308,2018-05-28 02:00:00,1527472800,570.5,572.24,568.9,571.9,706.21
309,2018-05-28 03:00:00,1527476400,571.9,576.45,570.56,571.9,870.79
310,2018-05-28 04:00:00,1527480000,571.9,571.9,556.3,558.0,435.86
311,2018-05-28 05:00:00,1527483600,558.0,558.86,517.23,519.85,4513.56
312,2018-05-28 06:00:00,1527487200,519.85,537.1,519.85,531.99,1743.97
313,2018-05-28 07:00:00,1527490800,531.99,539.24,531.53,534.66,618.32
314,2018-05-28 08:00:00,1527494400,534.66,535.74,525.47,530.47,907.26
315,2018-05-28 09:00:00,1527498000,530.47,536.08,529.08,533.08,289.78
316,2018-05-28 10:00:00,1527501600,533.08,537.35,532.43,537.22,370.79
317,2018-05-28 11:00:00,1527505200,537.22,537.22,526.62,530.87,2061.68
318,2018-05-28 12:00:00,1527508800,530.87,540.99,522.61,539.15,921.84
319,2018-05-28 13:00:00,1527512400,539.15,542.0,529.77,535.35,1096.01
320,2018-05-28 14:00:00,1527516000,535.35,536.5,527.1,529.99,403.19
321,2018-05-28 15:00:00,1527519600,529.99,533.65,528.39,531.99,456.57
322,2018-05-28 16:00:00,1527523200,531.99,532.99,527.22,529.74,197.0
323,2018-05-28 17:00:00,1527526800,529.74,529.74,524.2,527.18,974.68
324,2018-05-28 18:00:00,1527530400,527.18,530.12,522.0,522.0,512.88
325,2018-05-28 19:00:00,1527534000,522.0,530.82,522.0,527.34,359.91
326,2018-05-28 20:00:00,1527537600,527.34,528.79,523.43,523.76,242.81
327,2018-05-28 21:00:00,1527541200,523.76,524.97,515.2,515.84,827.56
328,2018-05-28 22:00:00,1527544800,515.84,519.0,506.3,518.02,1938.99
329,2018-05-28 23:00:00,1527548400,518.02,518.47,511.11,512.23,548.31
330,2018-05-29 00:00:00,1527552000,512.23,521.08,512.23,520.19,1675.69
331,2018-05-29 01:00:00,1527555600,520.19,521.84,510.05,520.48,874.25
332,2018-05-29 02:00:00,1527559200,520.48,520.88,516.55,520.55,629.4
333,2018-05-29 03:00:00,1527562800,520.55,526.06,520.14,525.32,472.94
334,2018-05-29 04:00:00,1527566400,525.32,528.61,524.28,527.66,1039.06
335,2018-05-29 05:00:00,1527570000,527.66,527.68,514.36,521.82,1874.71
336,2018-05-29 06:00:00,1527573600,521.82,524.43,517.76,519.83,1610.63
337,2018-05-29 07:00:00,1527577200,519.83,524.33,518.5,523.0,731.06
338,2018-05-29 08:00:00,1527580800,523.0,523.73,517.45,519.91,1856.92
339,2018-05-29 09:00:00,1527584400,519.91,522.38,518.7,522.16,2271.77
340,2018-05-29 10:00:00,1527588000,522.16,531.0,519.11,531.0,5042.55
341,2018-05-29 11:00:00,1527591600,531.0,556.76,531.0,552.3,4715.77
342,2018-05-29 12:00:00,1527595200,552.3,565.42,549.99,557.5,2476.28
343,2018-05-29 13:00:00,1527598800,557.5,571.86,557.33,565.82,2180.58
344,2018-05-29 14:00:00,1527602400,565.82,569.63,555.58,556.99,1541.54
